ID,Specialty,Theme,Article,German,Vietnamese,Example_DE,Example_VI,Level
"koch-kuehlkette","koch","lebensmittelhygiene","die","Kühlkette","chuỗi bảo quản lạnh","Die Kühlkette darf nicht unterbrochen werden.","Chuỗi bảo quản lạnh không được gián đoạn.","B2"
"koch-haltbarkeit","koch","lebensmittelhygiene","das","Mindesthaltbarkeitsdatum","hạn sử dụng tốt nhất","Kontrolliere das Mindesthaltbarkeitsdatum der Milch.","Kiểm tra hạn sử dụng tốt nhất của sữa.","B2"
"koch-kreuzkontamination","koch","lebensmittelhygiene","die","Kreuzkontamination","nhiễm chéo","Getrennte Messer verhindern eine Kreuzkontamination.","Dao riêng giúp ngăn nhiễm chéo.","B2"
"koch-bestellung","koch","kuechenkommunikation","die","Bestellung","phiếu món, đơn gọi món","Die nächste Bestellung ist zweimal Lachs.","Đơn tiếp theo là hai phần cá hồi.","A2"
"koch-beilage","koch","kuechenkommunikation","die","Beilage","món ăn kèm","Welche Beilage gehört zu diesem Gericht?","Món ăn kèm nào đi với món này?","B1"
"koch-allergie","koch","kuechenkommunikation","die","Allergie","dị ứng","Der Gast hat eine Allergie gegen Nüsse.","Khách bị dị ứng với các loại hạt.","B1"
"koch-vegetarisch","koch","kuechenkommunikation","","vegetarisch","chay, không có thịt","Wir bieten auch ein vegetarisches Tagesgericht an.","Chúng tôi cũng có món chay trong ngày.","A2"
"restaurant-begruessen","restaurant","gastempfang","","begrüßen","chào đón","Begrüßen Sie jeden Gast freundlich.","Hãy thân thiện chào đón từng vị khách.","A2"
"restaurant-reservierung","restaurant","gastempfang","die","Reservierung","đặt bàn","Haben Sie eine Reservierung auf den Namen Ronaldo?","Quý khách có đặt bàn tên Ronaldo không?","A2"
"restaurant-speisekarte","restaurant","gastempfang","die","Speisekarte","thực đơn","Ich bringe Ihnen sofort die Speisekarte.","Tôi sẽ mang thực đơn đến ngay.","A2"
"restaurant-platz","restaurant","gastempfang","","Platz nehmen","mời ngồi","Bitte nehmen Sie am Fenster Platz.","Xin mời quý khách ngồi cạnh cửa sổ.","A2"
"restaurant-aufnehmen","restaurant","bestellung","","die Bestellung aufnehmen","nhận gọi món","Darf ich Ihre Bestellung aufnehmen?","Tôi có thể nhận gọi món của quý khách không?","A2"
"restaurant-tagesgericht","restaurant","bestellung","das","Tagesgericht","món trong ngày","Unser Tagesgericht ist gebratener Zander.","Món trong ngày của chúng tôi là cá zander áp chảo.","B1"
"restaurant-vorspeise","restaurant","bestellung","die","Vorspeise","món khai vị","Möchten Sie zuerst eine Vorspeise?","Quý khách có muốn dùng món khai vị trước không?","A2"
"restaurant-hauptgang","restaurant","bestellung","der","Hauptgang","món chính","Der Hauptgang wird in zehn Minuten serviert.","Món chính sẽ được phục vụ trong mười phút.","A2"
"restaurant-nachtisch","restaurant","bestellung","der","Nachtisch","món tráng miệng","Zum Nachtisch empfehle ich Apfelstrudel.","Tôi gợi ý bánh táo cuộn cho món tráng miệng.","A2"
"restaurant-servieren","restaurant","service","","servieren","phục vụ món","Die Suppe wird von rechts serviert.","Món súp được phục vụ từ bên phải.","B1"
"restaurant-abraeumen","restaurant","service","","abräumen","dọn bàn","Darf ich die leeren Teller abräumen?","Tôi có thể dọn những chiếc đĩa trống không?","A2"
"restaurant-besteck","restaurant","service","das","Besteck","bộ dao nĩa","Für den Fisch fehlt noch das passende Besteck.","Món cá vẫn còn thiếu bộ dao nĩa phù hợp.","A2"
"restaurant-tablett","restaurant","service","das","Tablett","khay phục vụ","Tragen Sie die Gläser sicher auf dem Tablett.","Hãy mang ly an toàn trên khay.","B1"
"restaurant-still","restaurant","getraenke","","stilles Wasser","nước không ga","Möchten Sie Mineralwasser oder stilles Wasser?","Quý khách muốn nước khoáng có ga hay nước không ga?","A2"
"restaurant-hauswein","restaurant","getraenke","der","Hauswein","rượu vang của nhà hàng","Der Hauswein passt gut zum Rindfleisch.","Vang của nhà hàng rất hợp với thịt bò.","B1"
"restaurant-fassbier","restaurant","getraenke","das","Bier vom Fass","bia tươi từ vòi","Ein großes Bier vom Fass, bitte.","Cho tôi một ly bia tươi lớn.","A2"
"restaurant-einschenken","restaurant","getraenke","","einschenken","rót đồ uống","Darf ich Ihnen noch etwas Wein einschenken?","Tôi có thể rót thêm vang cho quý khách không?","B1"
"restaurant-rechnung","restaurant","abrechnung","die","Rechnung","hóa đơn","Möchten Sie die Rechnung zusammen oder getrennt?","Quý khách muốn thanh toán chung hay riêng?","A2"
"restaurant-trinkgeld","restaurant","abrechnung","das","Trinkgeld","tiền boa","Das Trinkgeld ist nicht in der Rechnung enthalten.","Tiền boa không nằm trong hóa đơn.","B1"
"restaurant-reklamation","restaurant","abrechnung","die","Reklamation","lời phàn nàn, khiếu nại","Wir bearbeiten jede Reklamation höflich und schnell.","Chúng tôi xử lý mọi phàn nàn lịch sự và nhanh chóng.","B2"
"pflege-grundpflege-waschung","pflege","grundpflege","die","Waschung","việc lau rửa, tắm rửa","Am Morgen führe ich bei Frau Meier eine Waschung im Bett durch.","Buổi sáng tôi thực hiện việc lau rửa cho bà Meier ngay trên giường.","A2"
"pflege-grundpflege-zahnpflege","pflege","grundpflege","die","Zahnpflege","việc chăm sóc răng miệng","Nach dem Frühstück unterstütze ich den Patienten bei der Zahnpflege.","Sau bữa sáng tôi hỗ trợ bệnh nhân chăm sóc răng miệng.","A2"
"pflege-grundpflege-inkontinenzmaterial","pflege","grundpflege","das","Inkontinenzmaterial","vật liệu (tã, bỉm) cho người tiểu tiện không tự chủ","Ich wechsle das Inkontinenzmaterial und achte auf die Hautpflege.","Tôi thay bỉm và chú ý đến việc chăm sóc da.","B1"
"pflege-grundpflege-eingliedcreme","pflege","grundpflege","die","Hautpflege","việc chăm sóc da","Die Hautpflege ist wichtig, um Rötungen und Wunden zu vermeiden.","Việc chăm sóc da rất quan trọng để tránh mẩn đỏ và vết thương.","A2"
"pflege-grundpflege-ankleiden","pflege","grundpflege","","ankleiden","mặc quần áo (cho ai đó)","Ich helfe der Bewohnerin, sich nach dem Waschen anzukleiden.","Tôi giúp cư dân mặc quần áo sau khi tắm rửa.","B1"
"pflege-grundpflege-nahrungsaufnahme","pflege","grundpflege","die","Nahrungsaufnahme","việc ăn uống, hấp thụ thức ăn","Bei der Nahrungsaufnahme muss der Patient langsam und aufrecht sitzen.","Khi ăn, bệnh nhân phải ngồi thẳng và ăn chậm.","B1"
"pflege-grundpflege-bettlaken","pflege","grundpflege","das","Bettlaken","tấm ga trải giường","Ich ziehe das frische Bettlaken glatt, damit keine Falten entstehen.","Tôi kéo phẳng tấm ga giường mới để không có nếp nhăn.","A2"
"pflege-grundpflege-intimpflege","pflege","grundpflege","die","Intimpflege","việc vệ sinh vùng kín","Bei der Intimpflege achte ich besonders auf die Würde des Patienten.","Khi vệ sinh vùng kín, tôi đặc biệt chú ý đến phẩm giá của bệnh nhân.","B1"
"pflege-anatomie-niere","pflege","anatomie","die","Niere","quả thận","Die Niere filtert das Blut und bildet den Urin.","Thận lọc máu và tạo ra nước tiểu.","B1"
"pflege-anatomie-leber","pflege","anatomie","die","Leber","gan","Bei diesem Patienten ist die Leber durch Alkohol geschädigt.","Ở bệnh nhân này, gan bị tổn thương do rượu.","B1"
"pflege-anatomie-magen","pflege","anatomie","der","Magen","dạ dày","Nach der Operation darf der Magen zunächst nur leichte Kost bekommen.","Sau ca mổ, dạ dày ban đầu chỉ được ăn thức ăn nhẹ.","A2"
"pflege-anatomie-haut","pflege","anatomie","die","Haut","da","Die Haut des älteren Menschen ist oft dünn und empfindlich.","Da của người già thường mỏng và nhạy cảm.","A2"
"pflege-anatomie-gelenk","pflege","anatomie","das","Gelenk","khớp","Das Gelenk im Knie ist entzündet und stark geschwollen.","Khớp ở đầu gối bị viêm và sưng nặng.","B1"
"pflege-anatomie-muskel","pflege","anatomie","der","Muskel","cơ bắp","Ohne Bewegung baut der Muskel schnell ab.","Không vận động thì cơ bắp teo đi nhanh chóng.","B1"
"pflege-anatomie-blase","pflege","anatomie","die","Blase","bàng quang","Der Katheter leitet den Urin aus der Blase ab.","Ống thông dẫn nước tiểu ra khỏi bàng quang.","B1"
"pflege-anatomie-knochen","pflege","anatomie","der","Knochen","xương","Bei einem Sturz kann ein Knochen leicht brechen.","Khi bị ngã, một chiếc xương có thể dễ dàng gãy.","A2"
"pflege-symptome-fieber","pflege","symptome","das","Fieber","sốt","Der Patient hat hohes Fieber und muss viel trinken.","Bệnh nhân sốt cao và phải uống nhiều nước.","A2"
"pflege-symptome-schmerzen","pflege","symptome","die","Schmerzen","cơn đau (số nhiều)","Die Bewohnerin klagt über starke Schmerzen im Rücken.","Cư dân than phiền về cơn đau dữ dội ở lưng.","A2"
"pflege-symptome-husten","pflege","symptome","der","Husten","ho","Der trockene Husten hält seit einer Woche an.","Cơn ho khan kéo dài đã một tuần nay.","A2"
"pflege-symptome-durchfall","pflege","symptome","der","Durchfall","tiêu chảy","Wegen des Durchfalls verliert der Patient viel Flüssigkeit.","Vì tiêu chảy, bệnh nhân mất nhiều nước.","B1"
"pflege-symptome-appetitlosigkeit","pflege","symptome","die","Appetitlosigkeit","chán ăn","Die Appetitlosigkeit führt bei ihm zu einem Gewichtsverlust.","Chứng chán ăn khiến ông ấy bị sụt cân.","B2"
"pflege-symptome-verwirrtheit","pflege","symptome","die","Verwirrtheit","sự lú lẫn, mất phương hướng","Bei Fieber tritt bei alten Menschen oft eine Verwirrtheit auf.","Khi sốt, người già thường xuất hiện tình trạng lú lẫn.","B2"
"pflege-symptome-muedigkeit","pflege","symptome","die","Müdigkeit","mệt mỏi, buồn ngủ","Die starke Müdigkeit kann ein Zeichen für Blutarmut sein.","Sự mệt mỏi nghiêm trọng có thể là dấu hiệu của thiếu máu.","B1"
"pflege-symptome-hautroetung","pflege","symptome","die","Hautrötung","vết mẩn đỏ trên da","Am Steißbein zeigt sich eine Hautrötung als erstes Zeichen eines Druckgeschwürs.","Ở xương cụt xuất hiện vết mẩn đỏ như dấu hiệu đầu tiên của loét tì đè.","B2"
"pflege-hygiene-schutzkittel","pflege","hygiene","der","Schutzkittel","áo choàng bảo hộ","Vor dem Betreten des Zimmers ziehe ich einen Schutzkittel an.","Trước khi vào phòng, tôi mặc áo choàng bảo hộ.","B1"
"pflege-hygiene-mundschutz","pflege","hygiene","der","Mundschutz","khẩu trang","Bei ansteckenden Krankheiten trage ich immer einen Mundschutz.","Khi có bệnh lây nhiễm, tôi luôn đeo khẩu trang.","A2"
"pflege-hygiene-desinfektionsmittel","pflege","hygiene","das","Desinfektionsmittel","chất khử trùng, dung dịch sát khuẩn","Das Desinfektionsmittel muss mindestens dreißig Sekunden einwirken.","Dung dịch sát khuẩn phải có tác dụng ít nhất ba mươi giây.","B1"
"pflege-hygiene-schutzkleidung","pflege","hygiene","die","Schutzkleidung","đồ bảo hộ","Im Isolationszimmer ist das Tragen von Schutzkleidung Pflicht.","Trong phòng cách ly, việc mặc đồ bảo hộ là bắt buộc.","B2"
"pflege-hygiene-keim","pflege","hygiene","der","Keim","mầm bệnh, vi khuẩn","Durch gründliches Waschen entferne ich viele Keime von den Händen.","Nhờ rửa kỹ, tôi loại bỏ nhiều mầm bệnh khỏi tay.","B1"
"pflege-hygiene-abfalleimer","pflege","hygiene","der","Abfalleimer","thùng rác","Gebrauchte Handschuhe werfe ich sofort in den Abfalleimer.","Găng tay đã dùng tôi vứt ngay vào thùng rác.","A2"
"pflege-hygiene-flaechendesinfektion","pflege","hygiene","die","Flächendesinfektion","việc khử trùng bề mặt","Nach jeder Schicht führe ich eine Flächendesinfektion der Ablagen durch.","Sau mỗi ca, tôi thực hiện khử trùng bề mặt các kệ để đồ.","B2"
"pflege-hygiene-isolierung","pflege","hygiene","die","Isolierung","việc cách ly","Wegen des Erregers ist eine Isolierung des Patienten notwendig.","Vì mầm bệnh, việc cách ly bệnh nhân là cần thiết.","B2"
"pflege-kommunikation-anrede","pflege","kommunikation","die","Anrede","cách xưng hô","Ich frage die Bewohnerin, welche Anrede sie bevorzugt.","Tôi hỏi cư dân bà ấy thích được xưng hô như thế nào.","B1"
"pflege-kommunikation-zuhoeren","pflege","kommunikation","","zuhören","lắng nghe","Es ist wichtig, dem Patienten in Ruhe zuzuhören.","Điều quan trọng là lắng nghe bệnh nhân một cách bình tĩnh.","A2"
"pflege-kommunikation-nachfragen","pflege","kommunikation","","nachfragen","hỏi lại cho rõ","Wenn ich etwas nicht verstehe, sollte ich höflich nachfragen.","Nếu tôi không hiểu gì đó, tôi nên lịch sự hỏi lại.","B1"
"pflege-kommunikation-erklaeren","pflege","kommunikation","","erklären","giải thích","Ich erkläre dem Patienten jeden Schritt vor der Behandlung.","Tôi giải thích cho bệnh nhân từng bước trước khi điều trị.","A2"
"pflege-kommunikation-missverstaendnis","pflege","kommunikation","das","Missverständnis","sự hiểu lầm","Ein Missverständnis über die Medikamente kann gefährlich sein.","Một sự hiểu lầm về thuốc có thể nguy hiểm.","B2"
"pflege-kommunikation-angehoerige","pflege","kommunikation","die","Angehörige","người thân","Ich informiere die Angehörige über den Zustand der Patientin.","Tôi thông báo cho người thân về tình trạng của bệnh nhân.","B1"
"pflege-kommunikation-troesten","pflege","kommunikation","","trösten","an ủi","Ich versuche, die weinende Bewohnerin zu trösten.","Tôi cố gắng an ủi cư dân đang khóc.","B1"
"pflege-kommunikation-rueckmeldung","pflege","kommunikation","die","Rückmeldung","phản hồi","Ich gebe dem Arzt eine kurze Rückmeldung über die Nacht.","Tôi phản hồi ngắn gọn cho bác sĩ về ca đêm.","B2"
"koch-pfanne","koch","kueche","die","Pfanne","chảo (rán)","Erhitze die Pfanne, bevor du das Fleisch hineingibst.","Hãy làm nóng chảo trước khi cho thịt vào.","A2"
"koch-braeter","koch","kueche","der","Bräter","nồi/khay quay thịt","Den Braten legen wir in den Bräter und schieben ihn in den Ofen.","Chúng ta đặt miếng thịt quay vào khay quay rồi đưa vào lò.","B1"
"koch-schoepfkelle","koch","kueche","die","Schöpfkelle","muôi múc canh","Mit der Schöpfkelle füllst du die Suppe in die Teller.","Bạn dùng muôi để múc súp ra đĩa.","A2"
"koch-puerierstab","koch","kueche","der","Pürierstab","máy xay cầm tay","Zerkleinere die Suppe direkt im Topf mit dem Pürierstab.","Hãy xay nhuyễn súp ngay trong nồi bằng máy xay cầm tay.","B1"
"koch-backblech","koch","kueche","das","Backblech","khay nướng","Verteile das Gemüse gleichmäßig auf dem Backblech.","Hãy dàn đều rau lên khay nướng.","A2"
"koch-reibe","koch","kueche","die","Reibe","bàn nạo","Reibe den Käse fein mit der Reibe.","Hãy nạo phô mai thật nhuyễn bằng bàn nạo.","A2"
"koch-fleischwolf","koch","kueche","der","Fleischwolf","máy xay thịt","Für das Hackfleisch drehen wir das Rindfleisch durch den Fleischwolf.","Để làm thịt băm, chúng ta xay thịt bò qua máy xay thịt.","B1"
"koch-arbeitsflaeche","koch","kueche","die","Arbeitsfläche","mặt bàn chế biến","Halte deine Arbeitsfläche immer sauber und aufgeräumt.","Hãy luôn giữ mặt bàn chế biến sạch sẽ và gọn gàng.","B1"
"koch-mehl","koch","zutaten","das","Mehl","bột mì","Für den Teig brauchen wir 500 Gramm Mehl.","Để làm bột nhào, chúng ta cần 500 gram bột mì.","A2"
"koch-hefe","koch","zutaten","die","Hefe","men nở","Die Hefe lässt den Teig aufgehen.","Men nở làm bột nở lên.","B1"
"koch-essig","koch","zutaten","der","Essig","giấm","Ein Schuss Essig gibt dem Salat eine feine Säure.","Một chút giấm mang lại vị chua tinh tế cho món salad.","A2"
"koch-muskatnuss","koch","zutaten","die","Muskatnuss","hạt nhục đậu khấu","Frisch geriebene Muskatnuss passt gut zu Kartoffelpüree.","Nhục đậu khấu nạo tươi rất hợp với khoai tây nghiền.","B2"
"koch-lorbeerblatt","koch","zutaten","das","Lorbeerblatt","lá nguyệt quế","Gib ein Lorbeerblatt in den Sud und nimm es später wieder heraus.","Cho một lá nguyệt quế vào nước dùng rồi vớt ra sau đó.","B1"
"koch-schalotte","koch","zutaten","die","Schalotte","hành hương (hành tím nhỏ)","Die Schalotte schmeckt milder als eine normale Zwiebel.","Hành hương có vị dịu hơn hành tây thường.","B1"
"koch-blaetterteig","koch","zutaten","der","Blätterteig","bột ngàn lớp","Aus dem Blätterteig formen wir kleine Taschen.","Từ bột ngàn lớp, chúng ta tạo hình những chiếc túi nhỏ.","B2"
"koch-speisestaerke","koch","zutaten","die","Speisestärke","tinh bột (bột năng)","Mit Speisestärke kannst du die Soße andicken.","Bạn có thể làm sốt đặc lại bằng tinh bột.","B1"
"koch-panieren","koch","zubereitung","","panieren","tẩm bột chiên xù","Zuerst musst du das Schnitzel panieren, dann brätst du es.","Trước tiên bạn phải tẩm bột chiên xù miếng thịt, rồi mới rán.","B1"
"koch-marinieren","koch","zubereitung","","marinieren","ướp","Wir marinieren das Fleisch über Nacht mit Öl und Kräutern.","Chúng ta ướp thịt qua đêm với dầu và rau thơm.","B1"
"koch-blanchieren","koch","zubereitung","","blanchieren","chần (qua nước sôi)","Blanchiere die Bohnen kurz und schrecke sie dann in Eiswasser ab.","Chần đậu que thật nhanh rồi thả ngay vào nước đá.","B2"
"koch-pochieren","koch","zubereitung","","pochieren","luộc chần (không sôi mạnh)","Das Ei pochieren wir in leicht siedendem Wasser mit etwas Essig.","Chúng ta chần trứng trong nước sôi lăn tăn có chút giấm.","B2"
"koch-karamellisieren","koch","zubereitung","","karamellisieren","làm caramel/thắng đường","Lass den Zucker in der Pfanne langsam karamellisieren.","Hãy để đường từ từ caramel hóa trong chảo.","B2"
"koch-glasieren","koch","zubereitung","","glasieren","phủ men/tráng bóng","Wir glasieren die Möhren mit Butter und etwas Honig.","Chúng ta tráng bóng cà rốt bằng bơ và một chút mật ong.","B2"
"koch-schwenken","koch","zubereitung","","schwenken","đảo/lắc trong chảo","Schwenke die Nudeln kurz in der heißen Soße.","Hãy đảo nhanh mì trong sốt nóng.","B1"
"koch-verruehren","koch","zubereitung","","verrühren","khuấy trộn đều","Verrühre die Eier mit der Milch zu einer glatten Masse.","Hãy khuấy trứng với sữa thành hỗn hợp mịn.","A2"
"koch-handhygiene","koch","lebensmittelhygiene","die","Handhygiene","vệ sinh tay","In der Küche ist eine gründliche Handhygiene besonders wichtig.","Trong bếp, vệ sinh tay kỹ lưỡng đặc biệt quan trọng.","B1"
"koch-schaedling","koch","lebensmittelhygiene","der","Schädling","sinh vật gây hại","Gegen Schädlinge müssen alle Lebensmittel gut verschlossen sein.","Để chống sinh vật gây hại, mọi thực phẩm phải được đậy kín.","B2"
"koch-desinfektion","koch","lebensmittelhygiene","die","Desinfektion","khử trùng","Nach der Arbeit gehört die Desinfektion der Flächen dazu.","Sau khi làm việc, phải khử trùng các bề mặt.","B2"
"koch-kerntemperatur","koch","lebensmittelhygiene","die","Kerntemperatur","nhiệt độ lõi (tâm thực phẩm)","Das Hähnchen ist sicher, wenn die Kerntemperatur 72 Grad erreicht.","Thịt gà an toàn khi nhiệt độ lõi đạt 72 độ.","B2"
"koch-verderb","koch","lebensmittelhygiene","der","Verderb","sự ôi thiu/hư hỏng","Falsche Lagerung führt schnell zum Verderb der Ware.","Bảo quản sai cách nhanh chóng dẫn đến hư hỏng hàng hóa.","B2"
"koch-einweghandschuh","koch","lebensmittelhygiene","der","Einweghandschuh","găng tay dùng một lần","Beim Anrichten trägt der Koch einen Einweghandschuh.","Khi bày món, đầu bếp đeo găng tay dùng một lần.","B1"
"koch-kellner","koch","kuechenkommunikation","der","Kellner","người phục vụ bàn","Der Kellner bringt die Bestellung in die Küche.","Người phục vụ mang đơn gọi món vào bếp.","A2"
"koch-gang","koch","kuechenkommunikation","der","Gang","món (trong bữa nhiều món)","Der nächste Gang kann erst raus, wenn Tisch fünf fertig ist.","Món tiếp theo chỉ được đưa ra khi bàn số năm xong.","B1"
"koch-bon","koch","kuechenkommunikation","der","Bon","phiếu gọi món","Der Koch hängt den Bon an die Leiste und ruft die Bestellung aus.","Đầu bếp treo phiếu gọi món lên thanh và đọc to đơn hàng.","B1"
"koch-absprache","koch","kuechenkommunikation","die","Absprache","sự trao đổi/thống nhất","Ohne klare Absprache im Team gerät der Ablauf durcheinander.","Không có sự thống nhất rõ ràng trong nhóm, quy trình sẽ rối loạn.","B2"
"koch-posten","koch","kuechenkommunikation","der","Posten","trạm/vị trí làm việc trong bếp","Heute übernimmst du den Posten an der Salatstation.","Hôm nay bạn phụ trách trạm làm món salad.","B2"
"restaurant-empfang","restaurant","gastempfang","der","Empfang","sự tiếp đón, quầy tiếp tân","Am Empfang fragen wir die Gäste nach ihrem Namen.","Ở quầy tiếp đón, chúng tôi hỏi tên khách.","A2"
"restaurant-garderobe","restaurant","gastempfang","die","Garderobe","nơi gửi áo khoác","Darf ich Ihren Mantel an der Garderobe abnehmen?","Tôi có thể nhận áo khoác của quý khách ở nơi gửi đồ không?","B1"
"restaurant-stammgast","restaurant","gastempfang","der","Stammgast","khách quen","Herr Bauer ist ein Stammgast und sitzt immer am Fenster.","Ông Bauer là khách quen và luôn ngồi cạnh cửa sổ.","B1"
"restaurant-begleiten","restaurant","gastempfang","","begleiten","dẫn, đưa (khách) đi","Ich begleite Sie gern zu Ihrem Tisch.","Tôi rất vui được dẫn quý khách đến bàn.","A2"
"restaurant-willkommen-heissen","restaurant","gastempfang","","willkommen heißen","chào đón","Wir heißen Sie herzlich in unserem Restaurant willkommen.","Chúng tôi nồng nhiệt chào đón quý khách đến nhà hàng.","B1"
"restaurant-fensterplatz","restaurant","gastempfang","der","Fensterplatz","chỗ ngồi cạnh cửa sổ","Möchten Sie lieber einen Fensterplatz oder einen Tisch drinnen?","Quý khách muốn chỗ cạnh cửa sổ hay bàn bên trong?","A2"
"restaurant-wartezeit","restaurant","gastempfang","die","Wartezeit","thời gian chờ","Die Wartezeit auf einen freien Tisch beträgt etwa zehn Minuten.","Thời gian chờ có bàn trống khoảng mười phút.","B1"
